抽せん日,予測番号,当選本数字,一致数,等級,信頼度,出力元,予測番号インデックス
1995-02-21,"[1, 2, 5, 4]","[4, 9, 0, 8]",1,はずれ,0.9481,PPO,予測4
1995-02-21,"[5, 1, 2, 4]","[4, 9, 0, 8]",1,はずれ,0.9481,PPO,予測5
1995-02-24,"[2, 0, 5, 6]","[3, 4, 6, 6]",1,はずれ,0.9549,PPO,予測1
1995-02-24,"[0, 0, 0, 1]","[3, 4, 6, 6]",0,はずれ,0.9527,Diffusion,予測2
1995-02-24,"[0, 1, 0, 0]","[3, 4, 6, 6]",0,はずれ,0.9527,Diffusion,予測3
1995-02-24,"[2, 6, 3, 5]","[3, 4, 6, 6]",2,はずれ,0.9526,PPO,予測4
1995-02-24,"[4, 5, 2, 3]","[3, 4, 6, 6]",2,はずれ,0.9513,PPO,予測5
1995-02-28,"[3, 0, 1, 1]","[2, 0, 6, 1]",2,はずれ,0.9452,Diffusion,予測1
1995-02-28,"[0, 2, 0, 1]","[2, 0, 6, 1]",3,はずれ,0.9544,Diffusion,予測2
1995-02-28,"[1, 0, 0, 0]","[2, 0, 6, 1]",2,はずれ,0.9527,Diffusion,予測3
1995-02-28,"[0, 1, 0, 0]","[2, 0, 6, 1]",2,はずれ,0.9527,Diffusion,予測4
1995-02-28,"[2, 1, 3, 0]","[2, 0, 6, 1]",3,はずれ,0.9523,PPO,予測5
1995-03-03,"[3, 6, 4, 2]","[7, 5, 6, 6]",1,はずれ,0.953,PPO,予測1
1995-03-03,"[3, 2, 5, 4]","[7, 5, 6, 6]",1,はずれ,0.9509,PPO,予測2
1995-03-03,"[4, 3, 5, 2]","[7, 5, 6, 6]",1,はずれ,0.9509,PPO,予測3
1995-03-03,"[1, 1, 0, 0]","[7, 5, 6, 6]",0,はずれ,0.9445,Diffusion,予測4
1995-03-03,"[4, 3, 5, 1]","[7, 5, 6, 6]",1,はずれ,0.9436,PPO,予測5
